Wall time,Step,Value
1616937080.78399,11974,1.797079858079087e-05
1616937085.435331,11988,1.79409580596257e-05
1616937088.296403,11998,1.796049764379859e-05
1616937089.725489,12003,1.794865784177091e-05
1616937091.697843,12010,1.79540384124266e-05
1616937097.006327,12029,1.7950169421965256e-05
1616937100.371378,12041,1.795007301552687e-05
1616937110.072241,12076,1.7953438145923428e-05
1616937127.717973,12138,1.794622585293837e-05
1616937131.771389,12153,1.794843228708487e-05
1616937134.723051,12164,1.793617775547318e-05
1616937135.808914,12168,1.7940201360033825e-05
1616937140.110392,12184,1.7950624169316143e-05
1616937149.137822,12217,1.793477167666424e-05
1616937151.556803,12226,1.7949281755136326e-05
1616937163.301076,12270,1.794547824829351e-05
1616937168.606784,12290,1.7935066352947615e-05
1616937169.402757,12293,1.7942755221156403e-05
1616937173.634716,12309,1.794046511349734e-05
1616937177.854282,12325,1.793625415302813e-05
1616937197.019603,12396,1.794662603060715e-05
1616937199.498775,12405,1.7936370568349957e-05
1616937208.006432,12436,1.7946576917893253e-05
